index_date;government_debt_%gdp
2017-06-01;50.265196556033
2017-07-01;51.3625002098934
2017-08-01;51.9158652444722
2017-09-01;52.3910775614813
2017-10-01;52.5173438748625
2017-11-01;52.6838102427678
2017-12-01;52.8829013741654
2018-01-01;53.1992886743603
2018-02-01;53.3604451263474
2018-03-01;53.588466599249
2018-04-01;53.4201765713718
2018-05-01;53.0073522951042
2018-06-01;52.738855245047
2018-07-01;53.1552832304169
2018-08-01;52.2042969359983
2018-09-01;53.0102206363008
2018-10-01;54.3999583647791
2018-11-01;54.0521724156852
2018-12-01;54.3549060098643
2019-01-01;54.9467368397836
2019-02-01;55.0505447667144
2019-03-01;54.8616447896982
2019-04-01;55.3162044449117
2019-05-01;55.4595413748616
2019-06-01;55.6419336717031
2019-07-01;55.3367494367376
2019-08-01;56.1674730720898
